Model,AIM,BETTER_DAN,DEV_MODE_Ranti,GCG,new_autodan,new_deepinception,new_gptfuzzer,new_renellm,new_tap,PAIR,prompt_with_random_search,平均值
mistral_7b_v2,100.0%,100.0%,100.0%,83.0%,64.0%,0.0%,100.0%,16.0%,37.0%,62.0%,100.0%,69.3%
Qwen2_5-14B-Instruct,100.0%,100.0%,100.0%,19.0%,1.0%,0.0%,94.0%,0.0%,21.0%,13.0%,100.0%,49.8%
Qwen2_5-7B-Instruct,100.0%,78.0%,76.0%,9.0%,2.0%,0.0%,88.0%,0.0%,4.0%,4.0%,100.0%,41.9%
vicuna_13b_v1_5,0.0%,0.0%,0.0%,1.0%,0.0%,0.0%,6.0%,0.0%,4.0%,11.0%,10.0%,2.9%
vicuna_7b_v1_5,97.0%,100.0%,100.0%,40.0%,0.0%,0.0%,71.0%,0.0%,21.0%,37.0%,98.0%,51.3%
平均值,79.4%,75.6%,75.2%,30.4%,13.4%,0.0%,71.8%,3.2%,17.4%,25.4%,81.6%,43.0%
